Ticker, Features, BestErrorRate, FeatureSelector, BaselineModel
AMGN, SICCD_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_NUMTRD_RF, 0.07038952541007062, SelectKBestF2, extra_tree_regressor
MSFT, BIDLO_ASKHI_VOL_SHROUT_OPENPRC_NUMTRD_RF, 0.07685841379533837, SelectFromModelF5, extra_tree_regressor
SGEN, TRTSCD_NSDINX_BIDLO_ASKHI_PRC_VOL_BID_ASK_SHROUT_OPENPRC_NUMTRD_RF, 0.07387292555757548, SelectKBestF, extra_tree_regressor
FISV, BIDLO_ASKHI_PRC_VOL_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_NUMTRD_RF, 0.07196607648431622, SelectKBestF4, extra_tree_regressor
ILMN, TRTSCD_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_NUMTRD_RF, 0.10498851727298547, SelectKBestF2, extra_tree_regressor
EBAY, SICCD_MMCNT_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_RF, 0.11247300574267709, SelectKBestF4, gradient_boosting_regressor
FAST, SICCD_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_NUMTRD_RF, 0.14360412444956713, SelectKBestF4, extra_tree_regressor
FTNT, ISSUNO_SHRFLG_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_RF, 0.08148221630163732, SelectKBestF, gradient_boosting_regressor
TMUS, BIDLO_ASKHI_PRC_VOL_BID_ASK_SHROUT_OPENPRC_SMB_HML_RF, 0.10197189481942898, SelectFromModelF5, extra_tree_regressor
MRNA, BIDLO_ASKHI_PRC_RET_BID_ASK_SHROUT_OPENPRC_NUMTRD_RETX_ewretx_RF, 0.006091564638838351, SelectKBestF2, extra_tree_regressor
IDXX, MMCNT_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_NUMTRD_RF, 0.09352366286913497, SelectKBestF4, gradient_boosting_regressor
PYPL, TRTSCD_NMSIND_MMCNT_BIDLO_ASKHI_PRC_VOL_BID_ASK_SHROUT_OPENPRC_NUMTRD_RF, 0.09804089172535393, SelectFweF2, extra_tree_regressor
ALGN, TRTSCD_NMSIND_MMCNT_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_OPENPRC_NUMTRD_RF, 0.14844148243785116, SelectKBestF2, extra_tree_regressor
LULU, TRTSCD_NMSIND_MMCNT_NSDINX_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_NUMTRD_RF, 0.11655851514391195, SelectFprF2, gradient_boosting_regressor
ADI, SICCD_BIDLO_ASKHI_PRC_VOL_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_RF, 0.07834790719157975, SelectKBestF4, extra_tree_regressor
DXCM, TRTSCD_NMSIND_MMCNT_NSDINX_BIDLO_ASKHI_PRC_BID_ASK_SHROUT_OPENPRC_RF, 0.09840781505103592, SelectKBestF2, extra_tree_regressor
AMD, SICCD_BIDLO_ASKHI_PRC_VOL_BID_ASK_SHROUT_CFACPR_CFACSHR_OPENPRC_RF, 0.08390261391630346, SelectKBestF4, extra_tree_regressor
